lvl l2u h1u l2d l2p l2p* dofs
0 0.00021462059119198616 0.002056195672580648 9.997949101650153e-13 0.3056967619689955 0.018413686751934014 1512
1 2.1893162526846275e-05 0.000337996500671055 1.2256501856247947e-12 0.22804826440110934 0.005940771249184233 4760
2 4.315054618744858e-06 9.172599755669162e-05 1.306610036901747e-12 0.11156838919450594 0.0015566579230814302 15200
3 5.304221458890465e-07 2.0280138478839163e-05 1.3292165962618302e-12 0.06174737578660864 0.0004025289494219811 54554
4 5.454440848676793e-08 3.7271111366122316e-06 1.3391515191680032e-12 0.04332631782072273 0.00010304296272815476 208382
5 6.430937649766564e-09 8.245601792480962e-07 1.3437621050700294e-12 0.029352746901529968 2.601186890351119e-05 811859
