lvl l2u h1u l2d l2p l2p* dofs
0 0.0001122488999925231 0.0012795220485173045 1.1398291762605279e-12 0.30867646714941455 0.019144066780764427 1704
1 3.4052178127549925e-06 9.72517890013179e-05 1.2558994455604375e-12 0.23015308717016447 0.005993673185029435 5201
2 4.520957115020202e-07 1.8748833965873065e-05 1.3175714863800135e-12 0.11181711117931138 0.0016291681063613772 16025
3 2.0030494086448447e-08 1.8802653168502942e-06 1.3324780915302783e-12 0.06204288613307347 0.00042552407145012776 56189
4 8.056120273184334e-10 1.5467684078501937e-07 1.3399943538880249e-12 0.043328493506535504 0.00010598383385939548 211673
5 3.078457110699802e-11 1.4487950458606494e-08 1.343976097356373e-12 0.029339251845965354 2.637214197348216e-05 818451
