lvl l2u h1u l2d l2p l2p* dofs
0 0.00029931631926973114 0.0026654386250297346 1.1289609680436217e-12 0.30925978905142165 0.018925817557433312 1512
1 3.385699080291657e-05 0.0003829746004527039 1.2552844436456612e-12 0.23024806754918886 0.005803077002420672 4760
2 4.269039035679374e-06 7.7474172043337e-05 1.3169536422332044e-12 0.11183147385113386 0.001630298571384924 15200
3 5.063622654254224e-07 1.4831049533953002e-05 1.3324219143940483e-12 0.06204459828886567 0.0004253701310194114 54554
4 4.755432239277616e-08 2.2263355321763755e-06 1.339988791376416e-12 0.04332868891621407 0.00010587992421089626 208382
5 4.7838207807952914e-09 4.981996108632549e-07 1.3439756313564672e-12 0.02933926941670831 2.6359355286295985e-05 811859
