lvl l2u h1u l2d l2p l2p* dofs
0 0.13045425778265546 1.2294617600552291 1.5206484276892394e-10 2.3952585528267187 1.1202470756706218 1368
1 0.020606624233816453 0.4978782202025305 2.783450437249775e-10 0.8706695680483196 0.1964083793249474 4810
2 0.001964240861380525 0.141439789233416 1.9433953552506188e-10 0.345933168060105 0.08015438918730781 16864
3 0.00019841282207077357 0.03828997001648454 1.5124015607117457e-10 0.20721150270820438 0.024392318664640734 62821
4 2.244071237086227e-05 0.00983201268713347 1.0386192087083985e-10 0.12601566128322983 0.004789725772405484 239732
5 2.5181144834072088e-06 0.002442898088246962 7.176024884965819e-11 0.09160188905739101 0.0010132939395431496 938186
