lvl l2u h1u l2d l2p l2p* dofs
0 0.2626269717924144 2.5571936307244156 4.532696232965788e-11 4.550850905931971 7.3420742004285735 1226
1 0.08712624065770994 0.6938135581403996 3.0041914503458704e-11 2.99807492482865 0.3609147864036989 4496
2 0.021390143749614142 0.23609983024348388 1.4405753082699598e-11 1.3508521537021254 0.2963148940334445 16247
3 0.0037849578001009254 0.07061841587735095 7.730511740176822e-12 0.5501430589901646 0.14409419298428966 61559
4 0.0008411927254600494 0.023239884708723145 6.115989186836188e-12 0.22088838325538043 0.029292414046729047 237209
5 0.00020193033629904052 0.007650988255402103 5.887747388928614e-12 0.11239891038256487 0.014416680772604298 933161
