lvl l2u h1u l2d l2p l2p* dofs
0 0.13044721594420025 1.2293935236399332 1.4784367237730022e-10 2.393546690932675 1.1198828823801823 1222
1 0.020592514349236916 0.49749654491619605 2.7719354923002394e-10 0.8685542929065275 0.19598853695744856 4496
2 0.001962756454910692 0.14125796405558716 1.9214712641700862e-10 0.3452743523998721 0.08012112789710973 16247
3 0.00019826282093582195 0.03826283613809946 1.5200153007840003e-10 0.20716797238084528 0.024384126741285442 61559
4 2.2431823331679875e-05 0.009830776606632752 1.0501877616427382e-10 0.1260148267390878 0.004789386331054748 237209
5 2.517535547455515e-06 0.0024427571405074085 7.042918792249198e-11 0.09160187402107402 0.0010130768035976573 933161
